"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify successful login with valid credentials","1","loginWithValidCredentials","Surefire suite","Tue Jan 27 03:14:17 UTC 2026","skipped","Tue Jan 27 03:14:17 UTC 2026","com.abhijeet.qa.tests.ui.LoginTests","Surefire test","com.abhijeet.qa.tests.ui.LoginTests","loginWithValidCredentials"
"","0","setUp","Surefire suite","Tue Jan 27 03:14:16 UTC 2026","broken","Tue Jan 27 03:14:16 UTC 2026","com.abhijeet.qa.tests.ui.FinancialServiceCatalogTests","Surefire test","com.abhijeet.qa.tests.ui.FinancialServiceCatalogTests","setUp"
"","1","setUp","Surefire suite","Tue Jan 27 03:14:17 UTC 2026","broken","Tue Jan 27 03:14:17 UTC 2026","com.abhijeet.qa.tests.ui.LoginTests","Surefire test","com.abhijeet.qa.tests.ui.LoginTests","setUp"
"Verify Queue Synchronization: Ensure the badge accurately reflects multiple staged transactions","1","verifyMultipleTransactionQueueCount","Surefire suite","Tue Jan 27 03:14:16 UTC 2026","skipped","Tue Jan 27 03:14:16 UTC 2026","com.abhijeet.qa.tests.ui.TransactionStagingTests","Surefire test","com.abhijeet.qa.tests.ui.TransactionStagingTests","verifyMultipleTransactionQueueCount"
"Validating the transition to the final review state","2","verifyTransactionAuthorizationFlow","Surefire suite","Tue Jan 27 03:14:16 UTC 2026","skipped","Tue Jan 27 03:14:16 UTC 2026","com.abhijeet.qa.tests.ui.TransactionExecutionTests","Surefire test","com.abhijeet.qa.tests.ui.TransactionExecutionTests","verifyTransactionAuthorizationFlow"
"Verify login fails with invalid credentials","0","loginWithInvalidCredentials","Surefire suite","Tue Jan 27 03:14:17 UTC 2026","skipped","Tue Jan 27 03:14:17 UTC 2026","com.abhijeet.qa.tests.ui.LoginTests","Surefire test","com.abhijeet.qa.tests.ui.LoginTests","loginWithInvalidCredentials"
"","0","setUp","Surefire suite","Tue Jan 27 03:14:16 UTC 2026","broken","Tue Jan 27 03:14:16 UTC 2026","com.abhijeet.qa.tests.ui.TransactionStagingTests","Surefire test","com.abhijeet.qa.tests.ui.TransactionStagingTests","setUp"
"Verify Transaction Initiation: Selection of a financial service for staging","2","verifyFinancialServiceStaging","Surefire suite","Tue Jan 27 03:14:16 UTC 2026","skipped","Tue Jan 27 03:14:16 UTC 2026","com.abhijeet.qa.tests.ui.TransactionStagingTests","Surefire test","com.abhijeet.qa.tests.ui.TransactionStagingTests","verifyFinancialServiceStaging"
"","2","setUp","Surefire suite","Tue Jan 27 03:14:16 UTC 2026","broken","Tue Jan 27 03:14:16 UTC 2026","com.abhijeet.qa.tests.ui.TransactionExecutionTests","Surefire test","com.abhijeet.qa.tests.ui.TransactionExecutionTests","setUp"
"Ensure the system provides a valid confirmation upon transaction commitment","1","verifyTransactionSettlementCompletion","Surefire suite","Tue Jan 27 03:14:16 UTC 2026","skipped","Tue Jan 27 03:14:16 UTC 2026","com.abhijeet.qa.tests.ui.TransactionExecutionTests","Surefire test","com.abhijeet.qa.tests.ui.TransactionExecutionTests","verifyTransactionSettlementCompletion"
"Verify mandatory service data and instrument rates for the top-tier catalog","0","verifyFinancialServiceCatalog","Surefire suite","Tue Jan 27 03:14:16 UTC 2026","skipped","Tue Jan 27 03:14:16 UTC 2026","com.abhijeet.qa.tests.ui.FinancialServiceCatalogTests","Surefire test","com.abhijeet.qa.tests.ui.FinancialServiceCatalogTests","verifyFinancialServiceCatalog"
